id,Area,X,Y,20200206,20200327,20200605,20200710,20200819,20200928,B02,B03,B04,B05,B06,B07,B08,B08A,B11,B12
781,16.95,357453.354,4614226.179,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1050,1050,929,1318,2478,3027,3230,3140,2098,1410
782,16.01,357510.838,4614257.525,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1380,1318,1495,1755,2344,2763,2819,2946,2943,2184
783,8.43,357172.971,4614198.904,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1203,1170,1258,1527,2360,2893,2395,3213,2492,1705
784,10.91,357317.512,4614275.756,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1582,1435,1761,1847,2083,2436,2506,2569,2911,2503
785,7.71,357315.02,4614271.868,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1582,1435,1761,1847,2083,2436,2506,2569,2911,2503
786,31.66,357290.605,4614362.607,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1720,1458,1514,1567,2446,2734,2796,3086,2756,2083
787,5.14,357407.522,4614316.501,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1370,1403,2017,1919,2165,2377,2293,2446,2914,2351
788,45.11,357382.185,4614516.94,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1262,1369,1224,1602,2249,2464,2642,2716,2573,1865
789,1155.21,360537.068,4612972.632,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,3350,2933,2415,2790,3027,3418,2104,3501,2454,2160
790,133.35,361172.327,4612915.826,VACIA,VACIA,LLENA,LLENA,VACIA,VACIA,1481,1520,1561,1835,2133,2297,2392,2452,2305,1669
791,18.21,359198.033,4613023.749,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1281,1354,1424,1735,2056,2315,2242,2618,2541,1859
792,80.2,359235.148,4613770.673,VACIA,VACIA,VACIA,VACIA,VACIA,VACIA,1396,1313,1534,1575,2340,2770,2554,3129,2636,1763
