,id,Area,X,Y,Estado,B02,B03,B04,B05,B06,B07,B08,B08A,B11,B12,id_img
1372,510,122.91,354233.78,4608494.284,LLENA,1493,1356,1446,1949,2373,2494,2136,2567,2890,2568,510_20200819
1373,511,170.95,353782.348,4608206.205,LLENA,2425,1733,1574,1898,2537,3051,2690,3256,2467,1803,511_20200819
1374,512,153.65,353884.43200000003,4608189.4180000005,LLENA,2863,1933,2010,1840,2759,2888,2998,3152,1663,1147,512_20200819
1375,513,187.93,353941.81200000003,4608312.472,LLENA,2084,1460,1123,1535,2223,2271,1876,2458,1817,1239,513_20200819
1376,514,104.84,354038.29299999995,4608295.631,LLENA,2149,1711,1531,1434,1729,2161,2592,2347,1839,1434,514_20200819
1377,515,194.11,353706.26700000005,4608225.505,LLENA,2554,1930,1538,1746,2102,2185,2093,2347,1759,1310,515_20200819
1378,517,148.81,353525.06299999997,4608221.235,LLENA,2711,1738,1911,2226,2696,2841,1814,2920,2652,2053,517_20200819
1379,519,127.94,353381.50399999996,4608310.132,LLENA,2245,1981,1729,2067,2659,2883,2491,3003,2324,1795,519_20200819
1380,521,130.47,353346.833,4608388.981000001,LLENA,2530,2052,1753,2031,2488,2832,2631,2969,2414,1813,521_20200819
1381,522,133.4,353458.43299999996,4608567.201,LLENA,1333,1347,1273,1752,2585,2920,2483,3161,2723,1856,522_20200819
1382,523,59.37,353608.53799999994,4608635.017,LLENA,1681,1592,1555,1715,2178,2259,2503,2486,2070,1647,523_20200819
1383,525,123.79,353532.851,4608697.513,LLENA,2272,1731,1786,2074,2921,3240,2584,3384,2727,2039,525_20200819
1384,527,176.03,353436.98299999995,4608676.179,LLENA,2161,1459,1379,1801,2501,2880,1853,2985,2509,2059,527_20200819
1385,529,128.53,353219.083,4608680.007,LLENA,2148,1896,1801,2233,2673,2926,2756,3261,2819,2159,529_20200819
1386,532,171.96,353395.311,4608771.221,LLENA,2812,2150,1664,2032,2679,2904,2050,3248,2231,1452,532_20200819
1387,534,97.99,354083.81,4608408.844,LLENA,2206,1788,1571,1540,1895,2080,2486,2466,1757,1186,534_20200819
1388,535,61.86,353980.849,4608464.191000001,VACIA,2314,2333,2421,2051,2315,2412,3270,2458,2185,1831,535_20200819
1389,536,127.39,353885.718,4608527.906,LLENA,2329,1845,1741,1846,2436,2813,2442,2848,2327,1753,536_20200819
1390,537,157.08,354257.9,4607698.494,LLENA,2466,2194,1637,1635,2760,3099,3196,3559,2143,1433,537_20200819
1391,538,162.62,354447.518,4607698.0430000005,LLENA,2486,1976,1791,2061,2555,3012,2583,2945,2849,2428,538_20200819
1392,539,126.53,354415.234,4607753.406,LLENA,1820,1476,1206,1759,2445,2721,2078,3186,2677,2055,539_20200819
1393,540,93.94,354413.46,4607785.1280000005,LLENA,1723,1798,1218,1553,2281,2525,2395,2556,2099,1587,540_20200819
1394,542,67.31,354482.124,4607800.018,VACIA,1366,1291,1173,1538,2273,2497,2568,2785,1980,1460,542_20200819
1395,544,110.49,354508.344,4607883.401000001,LLENA,1881,1340,1124,1725,2820,3200,2922,3449,2588,1958,544_20200819
1396,545,117.57,354416.982,4607938.404,LLENA,2480,2200,1995,2357,2637,2652,2718,2900,2467,1914,545_20200819
1397,552,113.6,354111.164,4606742.842,LLENA,1815,1703,1410,1516,2527,3015,2013,3232,2832,2151,552_20200819
1398,556,125.41,353457.036,4608883.1219999995,LLENA,2468,1863,1557,2385,2778,3077,2368,3130,2592,1995,556_20200819
1399,558,109.2,353605.515,4608787.719,LLENA,2048,1796,1301,1400,2713,3178,2174,3458,1837,1119,558_20200819
1400,559,95.98,353617.69200000004,4608838.587,LLENA,2138,1612,1307,1488,3262,4047,2700,4268,2565,1651,559_20200819
1401,562,59.97,353663.64200000005,4608937.021000001,LLENA,1865,1338,1296,2147,3044,3483,3319,3695,3190,2601,562_20200819
1402,565,64.81,353835.57899999997,4608812.858,LLENA,2139,1812,1423,1687,2654,3065,2805,3384,2764,1790,565_20200819
1403,567,62.62,353749.35799999995,4608878.204,LLENA,2082,1735,1671,1892,2859,3248,2956,3411,3101,2355,567_20200819
1404,569,95.69,353800.092,4608955.278,LLENA,1469,1404,1254,2014,2580,2857,3091,3033,2941,2350,569_20200819
1405,571,60.41,353715.855,4609022.37,LLENA,2916,2449,2078,2076,2498,2810,3230,2698,3362,2891,571_20200819
1406,573,82.78,353541.43200000003,4609057.244,LLENA,1626,1355,1049,1458,2618,3096,2840,3379,2274,1402,573_20200819
1407,574,68.54,353852.24100000004,4608684.035,LLENA,1994,1871,1840,2266,2733,2898,2525,2912,2499,2102,574_20200819
1408,575,62.6,354705.408,4608534.2469999995,LLENA,1777,1616,1372,1645,2719,3004,2957,3269,2056,1258,575_20200819
1409,576,66.74,354742.706,4608634.369,VACIA,1799,1744,1542,1387,2267,2650,2518,2795,1832,1301,576_20200819
1410,582,151.23,354623.744,4608721.932,VACIA,1523,1491,1241,1828,2946,3603,2690,3557,2088,1526,582_20200819
1411,583,77.29,354680.088,4608733.098,LLENA,1908,1607,1436,1398,2785,3359,2484,3447,1785,1065,583_20200819
1412,585,118.8,354709.226,4608815.945,LLENA,2024,1718,1628,2209,2651,2610,3220,2615,2242,1770,585_20200819
1413,601,69.25,354327.60299999994,4609205.312,VACIA,1352,1267,1129,1561,1792,1986,2367,2110,1918,1512,601_20200819
1414,613,105.57,354657.215,4609067.881,LLENA,2374,1891,1921,2187,2854,3101,2991,3167,2468,1734,613_20200819
1415,621,104.27,354230.028,4609673.103,LLENA,1286,1445,1517,1762,2476,2753,3059,2789,2592,2048,621_20200819
1416,625,70.52,354181.917,4609846.741,LLENA,1571,1761,2042,2068,2192,2434,2599,2698,2133,1648,625_20200819
1417,634,72.43,354445.758,4609841.055,LLENA,1826,1733,1494,2329,3357,3794,3774,3792,2349,1718,634_20200819
1418,635,150.4,354593.99600000004,4609841.56,LLENA,2188,1869,2117,1953,2194,2403,2402,2578,2588,2288,635_20200819
1419,637,172.08,354154.219,4609286.426,LLENA,2625,2036,2017,2148,2339,2583,1942,2692,2048,1753,637_20200819
1420,638,242.86,356879.34,4608213.972,LLENA,1489,1445,1145,1754,2110,2372,2519,2621,2257,1644,638_20200819
1421,639,177.48,356851.644,4608310.416,LLENA,2606,1709,1614,2229,2832,2999,2408,3541,2697,1901,639_20200819
1422,641,348.9,357105.31,4608324.977,LLENA,2454,1671,1612,1758,2383,2538,1775,2925,2150,1427,641_20200819
1423,642,78.07,357152.50700000004,4608237.641,LLENA,1597,1462,1110,1980,2948,3198,2892,3428,2597,1661,642_20200819
1424,644,131.09,356843.172,4608501.871,LLENA,1878,1950,2040,2263,2775,2921,2399,3033,2345,1762,644_20200819
1425,646,219.91,356903.995,4608630.7530000005,LLENA,2378,1733,1263,1470,2318,3011,1665,3130,1879,1156,646_20200819
1426,647,57.27,356932.929,4608697.208000001,VACIA,1550,1619,1590,2615,3172,3679,3067,3931,3651,2929,647_20200819
1427,648,127.04,357044.524,4608756.863,LLENA,2787,2505,2216,1363,2351,2822,2957,3128,1984,1231,648_20200819
1428,649,149.22,356800.787,4608763.078,LLENA,2258,1490,1480,2652,3023,3468,2512,3586,2782,2204,649_20200819
1429,650,124.89,356856.29,4608821.927,VACIA,2321,2384,2140,2323,3460,3929,2917,4212,3224,2074,650_20200819
1430,651,144.07,356945.29600000003,4608848.272,VACIA,1886,1948,1707,2752,3190,3418,2765,3633,3098,2357,651_20200819
1431,652,62.93,357002.302,4608910.65,LLENA,1570,1491,1303,1364,2319,2755,2825,2958,2040,1370,652_20200819
1432,653,81.84,357122.862,4609330.284,LLENA,2395,2365,1637,2274,3086,3526,2899,3608,2551,1839,653_20200819
1433,654,106.8,357279.74299999996,4609690.352,VACIA,1747,1891,2131,2131,2603,3031,3188,3103,2331,2025,654_20200819
1434,655,119.7,357289.08,4609615.531,LLENA,1284,1334,1380,1458,2276,2561,2690,2674,2191,1523,655_20200819
1435,657,95.71,357420.667,4609780.344,VACIA,1543,1735,1703,1915,2446,2580,3122,2845,2276,1698,657_20200819
1436,658,67.51,357355.126,4609834.374,VACIA,1128,1067,1004,1622,2512,3056,2683,3297,2355,1515,658_20200819
1437,660,62.08,356987.44200000004,4609877.333000001,LLENA,1043,1026,845,1303,2081,2605,2829,2739,1938,1283,660_20200819
1438,661,53.81,357258.146,4609788.481000001,VACIA,1516,1529,1775,1878,2530,2750,2569,2814,2337,1753,661_20200819
1439,663,108.16,355830.34,4608999.205,LLENA,2344,1592,1179,2117,2910,3070,2878,3176,2502,1787,663_20200819
1440,664,83.28,355923.84,4609106.2639999995,LLENA,2131,1862,1346,2503,3303,3567,3454,3630,2840,2247,664_20200819
1441,665,73.85,356019.64,4609376.265,LLENA,2437,2448,2379,2503,2919,3174,2905,3157,2683,2023,665_20200819
1442,668,54.01,356093.342,4609524.448,LLENA,1294,1221,842,1303,2554,3045,2203,3303,2221,1424,668_20200819
1443,670,166.17,357064.19399999996,4610297.304,LLENA,2335,2493,2759,2236,2245,2280,3058,2692,2671,2040,670_20200819
1444,671,112.9,357192.167,4610454.655,LLENA,2630,2401,1888,1456,2733,3300,3175,3521,2241,1442,671_20200819
1445,672,516.45,356915.064,4610580.806,LLENA,3778,3396,2168,2417,3141,3567,2039,3785,2663,1879,672_20200819
1446,673,166.0,356945.094,4610618.955,LLENA,2827,2729,2720,2293,2961,3370,3168,3650,2746,1951,673_20200819
1447,675,292.1,355985.636,4610232.009,LLENA,2032,1612,940,1014,1448,1636,1564,1895,1540,1217,675_20200819
1448,676,178.57,355938.35799999995,4610431.478,LLENA,1814,1540,1403,1632,2511,3044,3221,3039,2158,1355,676_20200819
1449,677,107.38,355903.631,4610564.066000001,LLENA,1758,1481,1169,1885,2359,2697,2365,2834,1986,1437,677_20200819
1450,679,55.62,354846.16299999994,4609476.683,VACIA,1374,1343,1487,1414,2449,2871,3191,3082,2074,1370,679_20200819
1451,680,342.05,354510.021,4609421.024,LLENA,2994,2499,2145,2015,3262,3682,2832,4124,2541,1610,680_20200819
1452,685,286.46,354861.719,4611009.64,LLENA,2797,2309,1721,1481,2554,3158,2540,3083,1840,1217,685_20200819
1453,686,54.83,354862.249,4610971.088,LLENA,1478,1538,1515,1670,2707,3256,3734,3279,2154,1541,686_20200819
1454,687,65.21,354507.086,4610792.989,LLENA,2269,2001,2135,2002,2411,2700,2600,2834,2759,1976,687_20200819
1455,688,180.31,355096.593,4611137.596,LLENA,2347,2558,2123,2770,3278,3576,3821,3954,2844,1993,688_20200819
1456,690,112.07,355032.44399999996,4611182.571,LLENA,2386,2033,1790,1803,1912,2011,1979,2105,1831,1611,690_20200819
1457,692,64.59,355864.096,4610863.002,LLENA,2927,2930,2589,1798,1851,2057,2661,1998,2019,1728,692_20200819
1458,693,99.3,355872.172,4610834.047,LLENA,2276,2175,2124,2426,2403,2460,2241,2731,2503,2040,693_20200819
1459,694,77.24,355664.469,4611065.923,VACIA,1378,1274,1387,1647,1725,1709,1519,1881,1932,1650,694_20200819
1460,696,374.42,357972.20399999997,4611504.214,LLENA,3216,2126,1422,1971,2980,3219,2104,3680,2419,1486,696_20200819
1461,697,90.92,357985.04600000003,4611492.648,LLENA,3005,1974,2174,2052,2650,3113,2123,3112,2194,1466,697_20200819
1462,698,94.4,358144.414,4611618.988,LLENA,1454,1385,1389,1337,2563,3030,3284,3211,1901,1060,698_20200819
1463,699,462.77,357909.23,4611756.213,LLENA,2682,2069,2322,1993,2738,3115,3238,3335,2428,1805,699_20200819
1464,700,193.78,357939.63399999996,4611787.643999999,LLENA,1307,1235,1071,1320,2391,3093,2908,3255,1908,1060,700_20200819
